ID 	IAU NAME 	M2	porb	M2e	porbe
64 	SDSSJ005245.11-005337.2 	0.319	2.735	0.09	0.002
81 	SDSSJ011009.09+132616.1 	0.319	7.984495	0.09	3e-06
117 	SDSSJ013851.54-001621.6 	0.255	1.746529272	0.124	1e-09
127 	SDSSJ015225.38-005808.5 	0.196	2.1519468	0.085	9.9e-06
170 	SDSSJ022503.02+005456.2 	0.294	21.86	0.09	0.16
182 	SDSSJ023804.39-000545.7 	0.38	5.0801	0.072	0.0048
189 	SDSSJ024642.55+004137.2 	0.38	17.43	0.072	0.04
217 	SDSSJ030308.35+005444.1 	0.287	3.226505	0.107	1e-06
229 	SDSSJ031404.98-011136.6 	0.319	6.32	0.09	0.02
235 	SDSSJ032038.72-063822.9 	0.255	3.3751	0.124	0.0018
369 	SDSSJ080736.96+072412.0 	0.38	11.45451	0.072	0.00017
411 	SDSSJ082145.27+455923.4 	0.431	12.2181648	0.1	1.6e-06
447 	SDSSJ083354.84+070240.1 	0.319	7.344	0.09	0.021
641 	SDSSJ094634.49+203003.4 	0.255	6.068669268	0.124	1e-09
652 	SDSSJ094913.37+032254.5 	0.319	9.491	0.09	0.015
668 	SDSSJ095737.59+300136.5 	0.38	46.2270672	0.072	3e-07
691 	SDSSJ100609.18+004417.0 	0.118	6.7313	0.004	0.0072
786 	SDSSJ104738.24+052320.3 	0.255	9.17	0.124	0.02
803 	SDSSJ105756.93+130703.5 	0.255	3.00389076	0.124	5e-09
888 	SDSSJ114312.57+000926.5 	0.319	9.273	0.09	0.03
908 	SDSSJ115156.94-000725.4 	0.196	3.399	0.085	0.003
929 	SDSSJ121010.13+334722.9 	0.255	2.987754336	0.124	2.4e-08
936 	SDSSJ121258.25-012310.2 	0.319	8.060894	0.09	1.2e-05
952 	SDSSJ122339.61-005631.1 	0.225	2.161872	0.043	3e-07
964 	SDSSJ123139.80-031000.3 	0.319	5.8493	0.09	0.0094
1031 	SDSSJ131334.74+023750.7 	0.319	22.31916	0.09	0.00045
1112 	SDSSJ141134.70+102839.7 	0.38	4.0202376	0.072	2e-08
1115 	SDSSJ141451.73-013242.7 	0.255	17.48	0.124	0.07
1139 	SDSSJ143547.87+373338.5 	0.255	3.015144	0.124	2e-06
1147 	SDSSJ143746.69+573706.0 	0.319	20.13369	0.09	0.00038
1152 	SDSSJ143947.62-010606.7 	0.472	36.5426	0.078	0.0014
1184 	SDSSJ150657.58-012021.7 	0.319	25.22355	0.09	0.00039
1196 	SDSSJ151921.72+353625.8 	0.196	32.81	0.085	0.32
1207 	SDSSJ152359.22+460448.9 	0.149	9.9317	0.075	0.0051
1209 	SDSSJ152425.21+504009.7 	0.319	14.151167	0.09	3.6e-05
1217 	SDSSJ152821.45+344314.9 	0.319	33.87	0.09	0.23
1218 	SDSSJ152933.25+002031.2 	0.255	3.962	0.124	0.003
1251 	SDSSJ154846.00+405728.8 	0.196	4.45242576	0.085	4e-07
1288 	SDSSJ160821.47+085149.9 	0.196	9.936	0.085	0.025
1296 	SDSSJ161113.13+464044.2 	0.255	1.97678	0.124	0.00048
1298 	SDSSJ161145.88+010327.8 	0.196	7.2922	0.085	0.0056
1356 	SDSSJ164615.60+422349.2 	0.255	38.29	0.124	0.21
1372 	SDSSJ170509.65+210904.4 	0.255	19.567	0.124	0.061
1389 	SDSSJ171810.15+610114.0 	0.319	16.155	0.09	0.044
1396 	SDSSJ172406.14+562003.0 	0.361	7.992463	0.072	3e-06
1405 	SDSSJ173101.49+623315.9 	0.319	6.4326	0.09	0.0059
1427 	SDSSJ204541.90-050925.7 	0.38	23.53152	0.072	0.00084
1450 	SDSSJ211205.31+101427.9 	0.196	2.2152	0.085	0.0001
1451 	SDSSJ211428.41-010357.2 	0.38	9.855	0.072	0.014
1454 	SDSSJ212051.92-005827.3 	0.319	10.7754	0.09	0.0026
1456 	SDSSJ212320.74+002455.5 	0.196	3.5835	0.085	0.0074
1462 	SDSSJ213218.11+003158.8 	0.319	5.3336	0.09	0.0026
1473 	SDSSJ215614.57-000237.4 	0.196	12.07015	0.085	0.00025
1490 	SDSSJ221616.59+010205.6 	0.255	5.0487	0.124	0.0051
1512 	SDSSJ224038.37-093541.4 	0.255	6.2541	0.124	0.0027
1574 	SDSSJ233928.35-002040.0 	0.319	15.74	0.09	0.02
1664 	SDSSJ074548.63+263123.4 	0.431	5.263318816	0.1	2e-10
